id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1843w~1843w.xml~Zürich~Winter~1843~1844~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1843-1844. Anfang am 30. October, Schluss am 20. März, Zürich: Orell, Füssli & Comp., 1843.~ja~Wintersemester 1843/44
1844s~1844s.xml~Zürich~Sommer~1844~1844~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1844. Anfang am 22. April, Schluss am 25. September, Sommerferien vom 22. Juli bis zum 4. August, Zürich: Orell, Füssli & Comp., 1844.~ja~Sommersemester 1844
1844w~1844w.xml~Zürich~Winter~1844~1845~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1844-1845. Anfang am 28. October, Schluss am 20. März, Zürich: Orell, Füssli & Comp., 1844.~ja~Wintersemester 1844/45
1845s~1845s.xml~Zürich~Sommer~1845~1845~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1845. Anfang am 21. April, Schluss am 25. September, Sommerferien vom 22. Juli bis zum 4. August, Zürich: Orell, Füssli & Comp., 1845.~ja~Sommersemester 1845
1845w~1845w.xml~Zürich~Winter~1845~1846~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1845-1846. Anfang am 29. October, Schluss am 20. Merz, Zürich: Orell, Füssli & Comp., 1845.~ja~Wintersemester 1845/46
1846s~1846s.xml~Zürich~Sommer~1846~1846~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1846. Anfang am 20. April, Schluss am 25. September, Sommerferien vom 20. Juli bis zum 3. August, Zürich: Orell, Füssli & Comp., 1846.~ja~Sommersemester 1846
1846w~1846w.xml~Zürich~Winter~1846~1847~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1846-1847. Anfang am 26. October, Schluss am 20. Merz, Zürich: Orell, Füssli & Comp., 1846.~ja~Wintersemester 1846/47
1847s~1847s.xml~Zürich~Sommer~1847~1847~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1847. Anfang am 19. April, Schluss am 25. September, Sommerferien vom 19. Juli bis zum 2. August, Zürich: Orell, Füssli & Comp., 1847.~ja~Sommersemester 1847
1847w~1847w.xml~Zürich~Winter~1847~1848~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1847-1848. Anfang am 1. November, Schluss am 20. Merz, Zürich: Orell, Füssli & Comp., 1847.~ja~Wintersemester 1847/48
1848s~1848s.xml~Zürich~Sommer~1848~1848~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1848. Anfang am 25. April, Schluss am 25. September, Sommerferien vom 17. Juli bis zum 7. August, Zürich: Orell, Füssli & Comp., 1848.~ja~Sommersemester 1848
1848w~1848w.xml~Zürich~Winter~1848~1849~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1848-1849. Anfang am 30. Oktober, Schluss am 20. März, Zürich: Orell, Füssli & Comp., 1848.~ja~Wintersemester 1848/49
1849s~1849s.xml~Zürich~Sommer~1849~1849~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1849. Anfang am 23. April, Schluss am 25. September (Sommerferien vom 23. Juli bis zum 13. August), Zürich: Orell, Füssli & Comp., 1849.~ja~Sommersemester 1849
1849w~1849w.xml~Zürich~Winter~1849~1850~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1849/50. Anfang am 29. Oktober, Schluss am 20. März, Zürich: Orell, Füssli & Comp., 1849.~ja~Wintersemester 1849/50
1850s~1850s.xml~Zürich~Sommer~1850~1850~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1850. Anfang am 22. April, Schluss am 25. September (Sommerferien vom 8. Juli bis zum 27. Juli), Zürich: Zürcher und Furrer, 1850.~ja~Sommersemester 1850
1850w~1850w.xml~Zürich~Winter~1850~1851~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1850/51. Anfang am 28. October, Schluss am 20. März, Zürich: Zürcher und Furrer, 1850.~ja~Wintersemester 1850/51
1851s~1851s.xml~Zürich~Sommer~1851~1851~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1851. Anfang am 22. April, Schluss am 25. September (Sommerferien vom 21. Juli bis 11. August), Zürich: Zürcher und Furrer, 1851.~ja~Sommersemester 1851
1851w~1851w.xml~Zürich~Winter~1851~1852~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1851/52. Anfang am 27. October, Schluss am 20. März, Zürich: Zürcher und Furrer, 1851.~ja~Wintersemester 1851/52
1852s~1852s.xml~Zürich~Sommer~1852~1852~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1852. Anfang am 19. April, Schluss am 25. September (Sommerferien vom 19. Juli bis 9. August), Zürich: Zürcher und Furrer, 1852.~ja~Sommersemester 1852
1852w~1852w.xml~Zürich~Winter~1852~1853~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1852/53. Anfang am 1. November, Schluss am 20. März, Zürich: Zürcher und Furrer, 1852.~ja~Wintersemester 1852/53
1853s~1853s.xml~Zürich~Sommer~1853~1853~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1853. Anfang am 25. April, Schluss am 24. September (Sommerferien vom 18. Juli bis 1. August), Zürich: Zürcher und Furrer, 1853.~ja~Sommersemester 1853
1853w~1853w.xml~Zürich~Winter~1853~1854~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1853/54. Anfang am 31. October, Schluss am 20. März, Zürich: Zürcher und Furrer, 1853.~ja~Wintersemester 1853/54
1854s~1854s.xml~Zürich~Sommer~1854~1854~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1854. Anfang am 24. April, Schluss am 25. September (Sommerferien vom 17. Juli bis zum 7. August), Zürich: Zürcher und Furrer, 1854.~ja~Sommersemester 1854
1854w~1854w.xml~Zürich~Winter~1854~1855~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1854/55. Anfang am 30. October, Schluss am 20. März, Zürich: Zürcher und Furrer, 1854.~ja~Wintersemester 1854/55
