id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1885w~1885w.xml~Zürich~Winter~1885~1886~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1885/86. Anfang am 20. October 1885, Schluss am 13. März 1886, Zürich: Zürcher und Furrer, 1885.~ja~Wintersemester 1885/86
1886s~1886s.xml~Zürich~Sommer~1886~1886~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1886. Anfang am 27. April 1886, Schluss am 14. August 1886, Zürich: Zürcher und Furrer, 1886.~ja~Sommersemester 1886
1886w~1886w.xml~Zürich~Winter~1886~1887~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1886/87. Anfang am 19. October 1886, Schluss am 12. März 1887, Zürich: Zürcher und Furrer, 1886.~ja~Wintersemester 1886/87
1887s~1887s.xml~Zürich~Sommer~1887~1887~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1887. Anfang am 19. April 1887, Schluss am 13. August 1887, Zürich: Zürcher und Furrer, 1887.~ja~Sommersemester 1887
1887w~1887w.xml~Zürich~Winter~1887~1888~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1887/88. Anfang am 18. October 1887, Schluss am 10. März 1888, Zürich: Zürcher und Furrer, 1887.~ja~Wintersemester 1887/88
1888s~1888s.xml~Zürich~Sommer~1888~1888~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1888. Anfang am 17. April 1888, Schluss am 11. August 1888, Zürich: Zürcher und Furrer, 1888.~ja~Sommersemester 1888
1888w~1888w.xml~Zürich~Winter~1888~1889~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1888/89. Anfang am 16. October 1888, Schluss am 9. März 1889, Zürich: Zürcher und Furrer, 1888.~ja~Wintersemester 1888/89
1889s~1889s.xml~Zürich~Sommer~1889~1889~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1889. Anfang am 23. April 1889, Schluss am 10. August 1889, Zürich: Zürcher und Furrer, 1889.~ja~Sommersemester 1889
1889w~1889w.xml~Zürich~Winter~1889~1890~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1889/90. Anfang am 15. Oktober 1889, Schluss am 15. März 1890, Zürich: Zürcher und Furrer, 1889.~ja~Wintersemester 1889/90
1890s~1890s.xml~Zürich~Sommer~1890~1890~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1890. Anfang am 15. April 1890, Schluss am 9. August 1890, Zürich: Zürcher und Furrer, 1890.~ja~Sommersemester 1890
1890w~1890w.xml~Zürich~Winter~1890~1891~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1890/91. Anfang am 21. Oktober 1890, Schluss am 14. März 1891, Zürich: Zürcher und Furrer, 1890.~ja~Wintersemester 1890/91
1891s~1891s.xml~Zürich~Sommer~1891~1891~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1891. Anfang am 21. April 1891, Schluss am 8. August 1891, Zürich: Zürcher und Furrer, 1891.~ja~Sommersemester 1891
1891w~1891w.xml~Zürich~Winter~1891~1892~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1891/92. Anfang am 20. Oktober 1891, Schluss am 12. März 1892, Zürich: Zürcher und Furrer, 1891.~ja~Wintersemester 1891/92
1892s~1892s.xml~Zürich~Sommer~1892~1892~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1892. Anfang am 20. April 1892, Schluss am 6. August 1892, Zürich: Zürcher und Furrer, 1892.~ja~Sommersemester 1892
1892w~1892w.xml~Zürich~Winter~1892~1893~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1892/93. Anfang am 18. Oktober 1892, Schluss am 11. März 1893, Zürich: Zürcher und Furrer, 1892.~ja~Wintersemester 1892/93
1893s~1893s.xml~Zürich~Sommer~1893~1893~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1893. Anfang am 18. April 1893, Schluss am 5. August 1893, Zürich: Zürcher und Furrer, 1893.~ja~Sommersemester 1893
1893w~1893w.xml~Zürich~Winter~1893~1894~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1893/94. Anfang am 17. October 1893, Schluss am 10. März 1894, Zürich: Zürcher und Furrer, 1893.~ja~Wintersemester 1893/94
1894s~1894s.xml~Zürich~Sommer~1894~1894~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1894. Anfang am 17. April 1894, Schluss am 4. August 1894, Zürich: Zürcher und Furrer, 1894.~ja~Sommersemester 1894
1894w~1894w.xml~Zürich~Winter~1894~1895~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1894/95. Anfang am 16. Oktober 1894, Schluss am 9. März 1895, Zürich: Zürcher und Furrer, 1894.~ja~Wintersemester 1894/95
1895s~1895s.xml~Zürich~Sommer~1895~1895~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1895. Anfang am 16. April 1895, Schluss am 3. August 1895, Zürich: Zürcher und Furrer, 1895.~ja~Sommersemester 1895
1895w~1895w.xml~Zürich~Winter~1895~1896~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1895/96. Anfang am 15. Oktober 1895, Schluss am 14. März 1896, Zürich: Zürcher und Furrer, 1895.~ja~Wintersemester 1895/96
1896s~1896s.xml~Zürich~Sommer~1896~1896~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1896. Anfang am 14. April 1896, Schluss am 1. August 1896, Zürich: Zürcher und Furrer, 1896.~ja~Sommersemester 1896
1896w~1896w.xml~Zürich~Winter~1896~1897~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1896/97. Anfang am 13. Oktober 1896, Schluss am 13. März 1897, Zürich: Zürcher und Furrer, 1896.~ja~Wintersemester 1896/97
1897s~1897s.xml~Zürich~Sommer~1897~1897~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1897. Anfang am 21. April 1897, Schluss am 7. August 1897, Zürich: Zürcher und Furrer, 1897.~ja~Sommersemester 1897
1897w~1897w.xml~Zürich~Winter~1897~1898~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1897/98. Anfang am 18. Oktober 1897, Schluss am 12. März 1898, Zürich: Zürcher und Furrer, 1897.~ja~Wintersemester 1897/98
1898s~1898s.xml~Zürich~Sommer~1898~1898~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1898. Anfang am 18. April 1898, Schluss am 6. August 1898, Zürich: Zürcher und Furrer, 1898.~ja~Sommersemester 1898
1898w~1898w.xml~Zürich~Winter~1898~1899~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1898/99. Anfang am 17. Oktober 1898, Schluss am 11. März 1899, Zürich: Zürcher und Furrer, 1898.~ja~Wintersemester 1898/99
1899s~1899s.xml~Zürich~Sommer~1899~1899~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1899. Anfang am 18. April 1899, Schluss am 5. August 1899, Zürich: Zürcher und Furrer, 1899.~ja~Sommersemester 1899
1899w~1899w.xml~Zürich~Winter~1899~1800~Verzeichnis der Vorlesungen an der Hochschule Zürich im Wintersemester 1899/1900. Anfang am 17. Oktober 1899, Schluss am 10. März 1900, Zürich: Zürcher und Furrer, 1899.~ja~Wintersemester 1899/00
1900s~1900s.xml~Zürich~Sommer~1900~1900~Verzeichnis der Vorlesungen an der Hochschule Zürich im Sommersemester 1900. Anfang am 18. April 1900, Schluss am 4. August 1900, Zürich: Zürcher und Furrer, 1900.~ja~Sommersemester 1900
