id~nachname~vorname~geboren~gestorben~pnd~wikipedia~gagliardi~dekanat~rektor~id_fakultaet
brunnenmeister_e~Brunnenmeister~Emil~1854~1896~117638196~https://de.wikipedia.org/wiki/Emil_Brunnenmeister~UZV: 962, Nr. 29~~~3
brunner_g~Brunner~Gustav~1831~1910~~~UZV: 972, Nr. 112~~~1
brunner_k~Brunner~Konrad~1859~1927~~~UZV: 973, Nr. 126~~~1
buechner_a~Büchner~Alexander~1827~1904~117052086~https://de.wikipedia.org/wiki/Alexander_Büchner~UZV: 986, Nr. 120~~~2
buedinger_m~Büdinger~Max~1828~1902~11705495X~https://de.wikipedia.org/wiki/Max_Büdinger~UZV: 980, Nr. 8~~Rektor: 1864-1865/66~2
buehler_a~Bühler~Anton~1869~1959~~~UZV: 973, Nr. 133~~~1
burkhardt_h~Burkhardt~Heinrich~1861~1914~117173967~https://de.wikipedia.org/wiki/Heinrich_Burkhardt_(Mathematiker)~UZV: 993, Nr. 26~~~2
bursian_c~Bursian~Conrad~1830~1883~117176567~https://de.wikipedia.org/wiki/Conrad_Bursian~UZV: 980, Nr. 10~Dekan: 1866-1867/68~~2
calm_a~Calm~Arthur~1859~1885~101353987~~UZV: 998, Nr. 111~~~2
caro_g~Caro~Georg~1867~1912~116456884~~UZV: 988, Nr. 151~~~2
carstanjen_awf~Carstanjen~Arnold William Friedrich~1864~1925~116461586~https://de.wikipedia.org/wiki/Friedrich_Carstanjen~UZV: 988, Nr. 150~~~2
choffat_p~Choffat~Paul~1849~1919~~~UZV: 997, Nr. 100~~~2
christ_p~Christ~Paul~1836~1908~116507675~https://de.wikipedia.org/wiki/Paul_Christ~UZV: 957, Nr. 16~Dekan: 1890-1891/92~Rektor: 1900~4
clausius_r~Clausius~Rudolf~1822~1888~116540486~https://de.wikipedia.org/wiki/Rudolf_Clausius~UZV: 992, Nr. 10~Dekan: 1859-1859/60~~2
cloetta_a~Cloetta~Arnold~1828~1890~117691526~https://de.wikipedia.org/wiki/Arnold_Leonhard_Cloetta~UZV: 968, Nr. 27~Dekan: 1870-1871/72~~1
cloetta_m~Cloetta~Max~1868~1940~128085088~~UZV: 969, Nr. 47~~~1
cohn_g~Cohn~Georg~1845~1918~116629304~https://de.wikipedia.org/wiki/Georg_Cohn~UZV: 962, Nr. 35~Dekan: 1896-1897/98~~3
conrat_m~Conrat (Cohn)~Max~1848~1911~101339445~https://de.wikipedia.org/wiki/Max_Conrat_(Cohn)~UZV: 961, Nr. 26~~~3
contzen_h~Contzen~Heinrich~1835~1888~116668083~~UZV: 965, Nr. 83~~~3
cramer_c~Cramer~Carl~1831~1901~117664340~https://de.wikipedia.org/wiki/Carl_Eduard_Cramer_(Botaniker)~UZV: 992, Nr. 16~~~2
cramer_s~Cramer~Salomon~1819~1844~~~UZV: 986, Nr. 115~~~2
daendliker_k~Dändliker~Karl~1849~1910~123794706~https://de.wikipedia.org/wiki/Karl_Dändliker~UZV: 984, Nr. 77~~~2
daverio_lh~Daverio~Ludwig Herkules~1804~1849~100766803~~UZV: 986, Nr. 104~~~2
delbrueck_awa~Delbrueck~Anton Wolfgang Adalbert~1862~1944~127831010~https://de.wikipedia.org/wiki/Anton_Delbrück~UZV: 973, Nr. 129~~~1
demme_h~Demme~Hermann~1802~1867~116069414~https://de.wikipedia.org/wiki/Hermann_Askan_Demme~UZV: 970, Nr. 70~~~1
denzler_w~Denzler~Wilhelm~1811~1893~~~UZV: 994, Nr. 56~~~2
dernburg_h~Dernburg~Heinrich~1829~1907~11867787X~https://de.wikipedia.org/wiki/Heinrich_Dernburg~UZV: 961, Nr. 14~Dekan: 1858-1859/60~~3
deschwanden_jw~Deschwanden~Joseph Wolfgang~1819~1866~118524879~~UZV: 994, Nr. 53~~~2
dilthey_k~Dilthey~Karl~1839~1907~116128194~https://de.wikipedia.org/wiki/Karl_Dilthey~UZV: 981, Nr. 16~Dekan: 1876-1877~~2
dodel_a~Dodel~Arnold~1843~1908~118679988~https://de.wikipedia.org/wiki/Arnold_Dodel-Port~UZV: 992, Nr. 17~~~2
dodel_l~Dodel~Luise~1863~~~~~~~
durege_h~Durège~Heinrich~1821~1893~116254688~https://de.wikipedia.org/wiki/Heinrich_Durège~UZV: 996, Nr. 90~~~2
eberth_kj~Eberth~Karl Joseph~1835~1926~118906232~https://de.wikipedia.org/wiki/Karl_Joseph_Eberth~UZV: 967, Nr. 24~Dekan: 1876-1877/78~~1
ebrard_jha~Ebrard~Johann Heinrich August~1818~1888~118687611~https://de.wikipedia.org/wiki/August_Ebrard~UZV: 958, Nr. 35~Dekan: 1847~~4
egli_e~Egli~Emil~1848~1908~118688111~https://de.wikipedia.org/wiki/Emil_Egli_(Theologe)~UZV: 958, Nr. 19~Dekan: 1896-1897/98~~4
egli_jj~Egli~Johann Jakob~1825~1896~116371757~https://de.wikipedia.org/wiki/Johann_Jakob_Egli~UZV: 984, Nr. 75~~~2
egli_k~Egli~Karl~1829~1904~116371773~~UZV: 959, Nr. 44~~~4
ehrenberg_kf~Ehrenberg~Karl Ferdinand~1806~1841~129348848~https://de.wikipedia.org/wiki/Carl_Ferdinand_von_Ehrenberg~UZV: 995, Nr. 73~~~2
eichelberg_jfa~Eichelberg~Johann Friedrich Andreas~1808~1871~10408748X~~UZV: 996, Nr. 79~~~2
eichhorst_h~Eichhorst~Hermann~1849~1921~11879986X~https://de.wikipedia.org/wiki/Hermann_Eichhorst~UZV: 968, Nr. 35~Dekan: 1888-1889/90~~1
eleutheropulos_a~Eleutheropulos~Abroteles~1873~1963~11644696X~~UZV: 988, Nr. 152~~~2
elwert_e~Elwert~Eduard~1805~1865~116463694~https://de.wikipedia.org/wiki/Eduard_Elwert~UZV: 957, Nr. 3~~~4
engel_j~Engel~Joseph~1816~1899~119068257~https://de.wikipedia.org/wiki/Josef_Engel~UZV: 967, Nr. 8~Dekan: 1848/49-1849~~1
ernst_f~Ernst~Friedrich~1828~1911~122766024~~UZV: 970, Nr. 76~~~1
erxleben_a~Erxleben~Albrecht~1814~1887~116568569~https://de.wikipedia.org/wiki/Albrecht_Erxleben~UZV: 960, Nr. 6~Dekan: 1844-1845/46~~3
escher_a~Escher~Alfred~1819~1882~118830295~https://de.wikipedia.org/wiki/Alfred_Escher~UZV: 964, Nr. 71~~~3
escher_e~Escher~Eugen~1831~1900~116569158~~UZV: 964, Nr. 76~~~3
escher_g~Escher~Gottfried~1800~1876~101892284~~UZV: 995, Nr. 72~~~2
escher_h-1781~Escher~Heinrich~1781~1860~116569182~~UZV: 985, Nr. 101~~~2
escher_h-1789~Escher~Heinrich~1789~1870~117512613~https://de.wikipedia.org/wiki/Heinrich_Escher_(Rechtsgelehrter)~UZV: 963, Nr. 61~~~3
escher-linth_a~Escher von der Linth~Arnold~1807~1872~11656928X~https://de.wikipedia.org/wiki/Arnold_Escher_von_der_Linth~UZV: 991, Nr. 5~~~2
eschmann_j~Eschmann~Johannes~1808~1852~100456332~~UZV: 995, Nr. 74~~~2
ettmueller_eml~Ettmüller~Ernst Moritz Ludwig~1802~1877~116585986~~UZV: 984, Nr. 67~~~2
exner_a~Exner~Adolf~1841~1894~11896061X~https://de.wikipedia.org/wiki/Adolf_Exner~UZV: 961, Nr. 21~Dekan: 1870-1871/72~~3
fehr_d~Fehr~Daniel~1819~1881~~~UZV: 986, Nr. 118~~~2
fein_e~Fein~Eduard~1813~1858~102462941~https://de.wikipedia.org/wiki/Eduard_Fein~UZV: 960, Nr. 8~~~3
feist_f~Feist~Franz~1864~1941~11643855X~https://de.wikipedia.org/wiki/Franz_Feist~UZV: 998, Nr. 125~~~2
felix_w~Felix~Walther~1860~1930~118818899~https://de.wikipedia.org/wiki/Walther_Felix~UZV: 969, Nr. 57~~~1
fick_a~Fick~Adolf~1829~1901~118800000~https://de.wikipedia.org/wiki/Adolf_Fick~UZV: 967, Nr. 17~Dekan: 1866-1867/68~~1
fick_age~Fick~Adolf Gaston Eugen~1852~1937~117507288~https://de.wikipedia.org/wiki/Adolf_Gaston_Eugen_Fick~UZV: 973, Nr. 122~~~1
fick_h~Fick~Heinrich~1822~1895~118683535~https://de.wikipedia.org/wiki/Heinrich_Fick~UZV: 961, Nr. 18~Dekan: 1862-1863/64; 1872-1873/74~Rektor: 1884-1885/86~3
fiedler_k~Fiedler~Karl~1863~1894~116525568~~UZV: 998, Nr. 116~~~2
finsler_hj~Finsler~Hans Jakob~1796~1863~101757441~~UZV: 971, Nr. 101~~~1
flegler_a~Flegler~Alexander~1804~1892~116599170~~UZV: 986, Nr. 117~~~2
fleiner_f~Fleiner~Fritz~1867~1937~11868390X~~UZV: 963, Nr. 49~~~3
foerster_fw~Förster~Friedrich Wilhelm~1869~1966~118692038~https://de.wikipedia.org/wiki/Friedrich_Wilhelm_Foerster~UZV: 988, Nr. 155~~~2
forel_a~Forel~Auguste~1848~1931~118534327~https://de.wikipedia.org/wiki/Auguste_Forel~UZV: 968, Nr. 31~Dekan: 1884-1885/86~~1
frankenhaeuser_f~Frankenhäuser~Ferdinand~1832~1894~119130882~~UZV: 968, Nr. 25~Dekan: 1880-1881/82~~1
frey_a~Frey~Adolf~1855~1920~116782544~https://de.wikipedia.org/wiki/Adolf_Frey~UZV: 982, Nr. 32~~~2
frey_h~Frey~Heinrich~1822~1890~119070561~https://de.wikipedia.org/wiki/Heinrich_Frey_(Anatom)~UZV: 967, Nr. 10~Dekan: 1859/60-1861/62~Rektor: 1854/55-1855/56~1
frey_j~Frey~Johannes~1821~1899~~~UZV: 983, Nr. 64~Dekan: 1855-1857~~2
frey_m~Frey~Max~1852~1932~118955144~https://de.wikipedia.org/wiki/Maximilian_von_Frey~UZV: 969, Nr. 44~~~1
fries_d~Fries~David~1818~1875~~~UZV: 959, Nr. 43~~~4
fritsch_kwg~Fritsch~Karl Wilhelm Georg~1838~1906~116825324~https://de.wikipedia.org/wiki/Karl_von_Fritsch~UZV: 996, Nr. 92~~~2
fritzsche_of~Fritzsche~Otto Fridolin~1812~1896~116826851~https://de.wikipedia.org/wiki/Otto_Fridolin_Fritzsche~UZV: 957, Nr. 7~"Dekan: 1841-1842/43; 1849-1850/51; 1859/60-1861/62; 1870-1871/72;
    1882-1883/84"~Rektor: 1866-1867/68~4
froebel_j~Fröbel~Julius~1805~1893~118536303~https://de.wikipedia.org/wiki/Julius_Fröbel~UZV: 994, Nr. 50~~~2
froehner_j~Froehner~Julius~1842~1905~~~UZV: 977, Nr. 3~~~5
