id_semester~id_veranstaltung~id_veranstaltung_legacy~id_dozent~nachname_dozent~vorname_dozent~grad_dozent~thema~zusatz~zeit~wochenstunden~fakultaet_id
1833s~1~v-1~rettig_h~Rettig~Heinrich~O~Dogmatik~~~8~4
1833s~2~v-2~rettig_h~Rettig~Heinrich~O~Kirchengeschichte~~~4~4
1833s~3~v-3~hitzig_f~Hitzig~Ferdinand~O~Erklärung des Pentateuch's~~~6~4
1833s~4~v-4~hitzig_f~Hitzig~Ferdinand~O~Erklärung der Propheten Joël und Amos~~~3~4
1833s~5~v-5~hitzig_f~Hitzig~Ferdinand~O~Hebräisch-jüdische Archäologie, oder Geschichte, Geographie und Antiquitäten der Hebräer, nach de Wette's Lehrbuche~~~4~4
1833s~6~v-6~hirzel_l~Hirzel~Ludwig~EO~Theologische Enzyklopädie und Methodologie~~~4~4
1833s~7~v-7~hirzel_l~Hirzel~Ludwig~EO~Biblische Theologie des Neuen Testamentes, oder kritische Darstellung der Religionslehre des Urchristenthums~~~2~4
1833s~8~v-8~usteri_hk~Usteri~Hans Kaspar~PD~Erklärung von Paulus Brief an die Römer~~~3~4
1833s~9~v-9~schinz_wh~Schinz~Wilhelm Heinrich~PD~Erklärung der Briefe an die Kolosser, Epheser und an Philemon~~~3~4
1833s~10~v-10~ulrich_m~Ulrich~Melchior~PD~Erklärung des ersten Briefes an die Korinther~~~4~4
1833s~11~v-11~usteri_hk~Usteri~Hans Kaspar~PD~Christliche Archäologie oder kirchengeschichtliche Alterthumskunde~~~3~4
1833s~12~v-12~loew-steinfurth_l~Löw zu Steinfurth~Ludwig von~O~Einleitung in die gesammte Rechtswissenschaft nach Falk's juristischer Encyklopädie, 3te Aufl., Kiel 1830~~~4~3
1833s~13~v-13~loew-steinfurth_l~Löw zu Steinfurth~Ludwig von~O~Deutsches Privatrecht mit Einschluss des Handelsrechts nach Eichhorns Lehrbuch, 3te Aufl., Göttingen 1829~~~8~3
1833s~14~v-14~loew-steinfurth_l~Löw zu Steinfurth~Ludwig von~O~Geschichte der städtischen Verfassung~~~2-3~3
1833s~15~v-15~loew-steinfurth_l~Löw zu Steinfurth~Ludwig von~O~Deutsche Rechtsalterthümer~~~2~3
1833s~16~v-16~loew-steinfurth_l~Löw zu Steinfurth~Ludwig von~O~Exegese wichtiger Stellen des Sachsenspiegels (Ausgabe von Homeyer, Berlin 1827)~~~1~3
1833s~17~v-17~snell_jw~Snell~Johann Wilhelm~O~Pandekten~~~12~3
1833s~18~v-18~snell_jw~Snell~Johann Wilhelm~O~Gemeines deutsches Kriminalrecht mit Rücksicht auf neuere, besonders schweizerische Gesetzgebungen~~~6~3
1833s~19~v-19~bluntschli_jc~Bluntschli~Johann Caspar~EO~Rechtsgeschichte und Institutionen des römischen Rechts~~~10~3
1833s~20~v-20~weiland_c~Weiland~Carl~PD~Römisches Erbrecht~~~3~3
1833s~21~v-21~weiland_c~Weiland~Carl~PD~Erklärung der Institutionen des Gaius, mit Vergleichung derjenigen des Justinianus und mit Beiziehung der übrigen rechtsgeschichtlichen Quellen~~~4~3
1833s~22~v-22~keller_fl~Keller~Friedrich Ludwig~EO~Abriss des Zürcherischen Civilprocesses mit praktischen Uebungen, vorzüglich für das mündliche Verfahren~~~4~3
1833s~23~v-23~escher_h-1789~Escher~Heinrich~EO~Theorie der Staatswissenschaft nach Rau's Lehrbuch der politischen Oekonomie, Heidelberg 1829~~~4~3
1833s~24~v-24~escher_h-1789~Escher~Heinrich~EO~Erklärung und Prüfung von Montesquieu's Geist der Gesetze, nebst der einschlägigen Literatur~~~4~3
1833s~25~v-25~escher_h-1789~Escher~Heinrich~EO~Kriminalprocess, nach Mittermaiers deutschem Strafverfahren~~~4~3
1833s~26~v-26~sartorius_jb~Sartorius~Johann Baptist~PD~Allgemeines Staatsrecht, mit besonderer Rücksicht auf die Institutionen der Schweiz~~~6~3
1833s~27~v-27~gidoni_f~Gidoni~Franz~PD~Cours du droit public, appliqué aux progrès des sociétés modernes~~~2-3~3
1833s~28~v-28~schoenlein_jl~Schönlein~Johann Lukas~O~Specielle Pathologie und Therapie~~~6~1
1833s~29~v-29~schoenlein_jl~Schönlein~Johann Lukas~O~Medicinische Diagnostik~~~2~1
1833s~30~v-30~schoenlein_jl~Schönlein~Johann Lukas~O~Leitung der medicinischen Klinik~~Mo-Sa~~1
1833s~31~v-31~locher-zwingli_h~Locher-Zwingli~Heinrich~EO~Chirurgie~~~5~1
1833s~32~v-32~locher-zwingli_h~Locher-Zwingli~Heinrich~EO~Chirurgische Klinik~~~~1
1833s~33~v-33~spoendly_hc~Spöndly~Hans Conrad~EO~Geburtshülfe~~~5~1
1833s~34~v-34~spoendly_hc~Spöndly~Hans Conrad~EO~Geburtshülfliche Klinik~~~~1
1833s~35~v-35~demme_h~Demme~Hermann~EO~Theoretische Anatomie des gesunden menschlichen Körpers, erste Hälfte: Osteologie, Syndesmologie, Myologie, Splanchnologie~~~5~1
1833s~36~v-36~demme_h~Demme~Hermann~EO~Histologie~~~3~1
1833s~37~v-37~demme_h~Demme~Hermann~EO~Chirurgische Anatomie~~~4~1
1833s~38~v-38~demme_h~Demme~Hermann~EO~Ueber Blutungen aus äusserer Verletzung und Blutstillung, mit vergleichenden Versuchen über Ligatur und Torsion der Arterien an lebenden Thieren~~~2~1
1833s~39~v-39~demme_h~Demme~Hermann~EO~Ueber das Heinische Osteotom, seine Anwendung auf Trepanation und Resektion und die dabei zu befolgenden Operations-Typen~~~2~1
1833s~40~v-40~meyer_hc~Meyer~Hans Conrad~PD~Ueber Krankheiten der Knochen und der Gelenke~~~3~1
1833s~41~v-41~meyer_hc~Meyer~Hans Conrad~PD~Verband- und Instrumentenlehre~~~2~1
1833s~42~v-42~meyer_hc~Meyer~Hans Conrad~PD~Operativchirurgie~~~4~1
1833s~43~v-43~muralt_l~Muralt~Leonhard von~PD~Praktischer Kurs über Augenoperationen~~~2~1
1833s~44~v-44~locher-balber_h~Locher-Balber~Hans~EO~"Propädeutik zum Studium der Medicin nach seinen ""Grundzügen der Propädeutik"", Zürich 1832"~~~4~1
1833s~45~v-45~locher-balber_h~Locher-Balber~Hans~EO~Semiotik nach F. G. Danz allg. medic. Zeichenlehre, neu bearb. v. Heinroth~~~2~1
1833s~46~v-46~finsler_hj~Finsler~Hans Jakob~PD~Medicinische Receptirkunst~~~2~1
1833s~47~v-47~finsler_hj~Finsler~Hans Jakob~PD~Pharmaceutische Chemie~~~5~1
1833s~48~v-48~finsler_hj~Finsler~Hans Jakob~PD~Pharmakognosie, oder zweiter Theil der Pharmacie~~~5~1
1833s~49~v-49~finsler_hj~Finsler~Hans Jakob~PD~Die Lehre von den Giften~~~2~1
1833s~50~v-50~hess_hr~Hess~Hans Rudolf~PD~Pharmaceutische Chemie~~~5~1
1833s~51~v-51~schinz_cs~Schinz~Christoph Salomon~PD~Pharmakologie~~~3~1
1833s~52~v-52~bobrik_e~Bobrik~Eduard~O~Allgemeine Einleitung in die Philosophie~~~4~2
1833s~53~v-53~bobrik_e~Bobrik~Eduard~O~Logik~~~4~2
1833s~54~v-54~bobrik_e~Bobrik~Eduard~O~Empirische und rationelle Psychologie~~~5~2
1833s~55~v-55~bobrik_e~Bobrik~Eduard~O~Pädagogik~~~4~2
1833s~56~v-56~snell_l~Snell~Ludwig~EO~Geschichte der alten Philosophie, insbesondere der Griechen und Römer, mit besonderer Rücksicht auf das klassische Zeitalter dieser Völker, als Einleitung in das Studium der Philosophie~~~5~2
1833s~57~v-57~oken_l~Oken~Lorenz~O~Allgemeine Naturgeschichte~~~4~2
1833s~58~v-58~oken_l~Oken~Lorenz~O~Physiologie des Menschen~~~4~2
1833s~59~v-59~oken_l~Oken~Lorenz~O~Vergleichende Osteologie~~~4~2
1833s~60~v-60~schinz_hr~Schinz~Heinrich Rudolf~EO~Vergleichende Physiologie~~~4~2
1833s~61~v-61~schulthess_hr~Schulthess~Hans Rudolf~PD~Botanik~~~4~2
1833s~62~v-62~horner_l~Horner~Ludwig~PD~Mineralogie und Geologie~~~5~2
1833s~63~v-63~escher_g~Escher~Gottfried von~PD~Physik, erster Theil, oder Einleitung in die Physik, Lehre von der Schwere, von den Molekularkräften, von der Elektricität, vom Magnetismus und Elektromagnetismus~~~4~2
1833s~64~v-64~loewig_c~Löwig~Carl~EO~Experimental-Chemie, nach seinem Lehrbuche der Chemie, Heidelberg 1832~~~5~2
1833s~65~v-65~finsler_hj~Finsler~Hans Jakob~PD~Lehre von den chemischen Reagentien~~~3~2
1833s~66~v-66~eschmann_j~Eschmann~Johannes~PD~Reine Mathematik~~~6~2
1833s~67~v-67~graeffe_kh~Gräffe~Karl Heinrich~PD~Differenzial- und Integral-Rechnung, nebst einer kombinatorischen Entwickelung der vorzüglichsten Reihen, als Einleitung~~~6~2
1833s~68~v-68~raabe_jl~Raabe~Joseph Ludwig~PD~Analytische Mechanik sammt deren Anwendung auf das Weltgebäude~~~4~2
1833s~69~v-69~raabe_jl~Raabe~Joseph Ludwig~PD~Theorie der partiellen Differenzialgleichungen, deren Integrazion und Anwendung derselben auf einige Theile der Physik~~~2~2
1833s~70~v-70~eschmann_j~Eschmann~Johannes~PD~Populäre Astronomie~~~1~2
1833s~71~v-71~eschmann_j~Eschmann~Johannes~PD~Beobachtende und rechnende Astronomie~~~3~2
1833s~72~v-72~ehrenberg_kf~Ehrenberg~Karl Ferdinand von~PD~Allgemeine bürgerliche und höhere Baukunst, Strassen-, Brücken- und Wasserbau~~~4~2
1833s~73~v-73~weiland_c~Weiland~Carl~PD~Geschichte der Staaten des Alterthums~~~5~2
