id_dozent~id_fakultaet~nachname~vorname~geboren~gestorben~pnd~wikipedia~gagliardi~dekanat~rektor
betz_l~2~Betz~Louis~1861~1904~118182854~https://de.wikipedia.org/wiki/Louis-Paul_Betz~UZV: 984, Nr. 82~~
biedermann_ae~4~Biedermann~Alois Emanuel~1819~1885~118510681~https://de.wikipedia.org/wiki/Alois_Emanuel_Biedermann~UZV: 957, Nr. 9~Dekan: 1857-1858/59; 1868-1869/70; 1880-1881/82~Rektor: 1874-1875/76
biermer_a~1~Biermer~Anton~1827~1892~119060280~https://de.wikipedia.org/wiki/Anton_Biermer~UZV: 967, Nr. 19~Dekan: 1868-1869/70~
billeter_g~2~Billeter~Gustav~1873~1929~116181060~https://de.wikipedia.org/wiki/Gustav_Billeter~UZV: 988, Nr. 157~~
billeter_j~1~Billeter~Jakob~1834~1912~~~UZV: 977, Nr. 1~~
billroth_t~1~Billroth~Theodor~1829~1894~118510916~https://de.wikipedia.org/wiki/Theodor_Billroth~UZV: 967, Nr. 15~Dekan: 1864-1865/66~
bischler_a~2~Bischler~August~1865~1957~116193050~https://de.wikipedia.org/wiki/August_Bischler~UZV: 998, Nr. 124~~
bleuler_e~1~Bleuler~Eugen~1857~1939~121096416~https://de.wikipedia.org/wiki/Eugen_Bleuler~UZV: 969, Nr. 43~~
bloch_l~2~Bloch~Leo~1864~1920~116202459~https://de.wikipedia.org/wiki/Leo_Bloch~UZV: 988, Nr. 149~~
bluemner_h~2~Blümner~Hugo~1844~1919~116205849~https://de.wikipedia.org/wiki/Hugo_Blümner~UZV: 981, Nr. 25~Dekan: 1880-1881/82~Rektor: 1888-1889/90
bluntschli_jc~3~Bluntschli~Johann Caspar~1808~1881~118512129~https://de.wikipedia.org/wiki/Johann_Caspar_Bluntschli~UZV: 960, Nr. 5~Dekan: 1838-1840; 1846-1847/48~Rektor: 1844-1845/46
bobrik_e~2~Bobrik~Eduard~1802~1870~116211822~https://de.wikipedia.org/wiki/Eduard_Bobrik~UZV: 980, Nr. 1~Dekan: 1837-1838/39~Rektor: 1840/41-1841/42
boehmert_cv~3~Böhmert~Carl Victor~1829~1918~104080485~https://de.wikipedia.org/wiki/Viktor_Böhmert~UZV: 961, Nr. 19~Dekan: 1874-1874/75~
boehringer_p~4~Böhringer~Paul~1852~1929~116221852~https://de.wikipedia.org/wiki/Paul_Böhringer~UZV: 959, Nr. 51~~
boesch_m~2~Bösch~Melchior~1852~1910~~~UZV: 988, Nr. 144~~
bollinger_o~1~Bollinger~Otto~1843~1909~116236566~https://de.wikipedia.org/wiki/Otto_von_Bollinger~UZV: 972, Nr. 113~~
boretius_a~3~Boretius~Alfred~1836~1900~116252596~https://de.wikipedia.org/wiki/Alfred_Boretius~UZV: 961, Nr. 20~Dekan: 1869-1869/70~
breitinger_h~2~Breitinger~Heinrich~1832~1889~137212984~https://de.wikipedia.org/wiki/Heinrich_Breitinger~UZV: 981, Nr. 20~Dekan: 1886-1887/88~
breslau_b~1~Breslau~Bernhard~1829~1866~13345648X~~UZV: 967, Nr. 18~~
brocher_jmh~3~Brocher~Jules Michel Henri~1835~1907~~~UZV: 964, Nr. 80~~
brun_c~2~Brun~Carl~1851~1923~124110738~~UZV: 984, Nr. 80~~
brunnenmeister_e~3~Brunnenmeister~Emil~1854~1896~117638196~https://de.wikipedia.org/wiki/Emil_Brunnenmeister~UZV: 962, Nr. 29~~
brunner_g~1~Brunner~Gustav~1831~1910~~~UZV: 972, Nr. 112~~
brunner_k~1~Brunner~Konrad~1859~1927~~~UZV: 973, Nr. 126~~
buechner_a~2~Büchner~Alexander~1827~1904~117052086~https://de.wikipedia.org/wiki/Alexander_Büchner~UZV: 986, Nr. 120~~
buedinger_m~2~Büdinger~Max~1828~1902~11705495X~https://de.wikipedia.org/wiki/Max_Büdinger~UZV: 980, Nr. 8~~Rektor: 1864-1865/66
buehler_a~1~Bühler~Anton~1869~1959~~~UZV: 973, Nr. 133~~
burkhardt_h~2~Burkhardt~Heinrich~1861~1914~117173967~https://de.wikipedia.org/wiki/Heinrich_Burkhardt_(Mathematiker)~UZV: 993, Nr. 26~~
bursian_c~2~Bursian~Conrad~1830~1883~117176567~https://de.wikipedia.org/wiki/Conrad_Bursian~UZV: 980, Nr. 10~Dekan: 1866-1867/68~
calm_a~2~Calm~Arthur~1859~1885~101353987~~UZV: 998, Nr. 111~~
caro_g~2~Caro~Georg~1867~1912~116456884~~UZV: 988, Nr. 151~~
carstanjen_awf~2~Carstanjen~Arnold William Friedrich~1864~1925~116461586~https://de.wikipedia.org/wiki/Friedrich_Carstanjen~UZV: 988, Nr. 150~~
choffat_p~2~Choffat~Paul~1849~1919~~~UZV: 997, Nr. 100~~
christ_p~4~Christ~Paul~1836~1908~116507675~https://de.wikipedia.org/wiki/Paul_Christ~UZV: 957, Nr. 16~Dekan: 1890-1891/92~Rektor: 1900
clausius_r~2~Clausius~Rudolf~1822~1888~116540486~https://de.wikipedia.org/wiki/Rudolf_Clausius~UZV: 992, Nr. 10~Dekan: 1859-1859/60~
cloetta_a~1~Cloetta~Arnold~1828~1890~117691526~https://de.wikipedia.org/wiki/Arnold_Leonhard_Cloetta~UZV: 968, Nr. 27~Dekan: 1870-1871/72~
cloetta_m~1~Cloetta~Max~1868~1940~128085088~~UZV: 969, Nr. 47~~
cohn_g~3~Cohn~Georg~1845~1918~116629304~https://de.wikipedia.org/wiki/Georg_Cohn~UZV: 962, Nr. 35~Dekan: 1896-1897/98~
conrat_m~3~Conrat (Cohn)~Max~1848~1911~101339445~https://de.wikipedia.org/wiki/Max_Conrat_(Cohn)~UZV: 961, Nr. 26~~
contzen_h~3~Contzen~Heinrich~1835~1888~116668083~~UZV: 965, Nr. 83~~
